,Date,Home Team,Away Team,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,02/10/2023,Fulham,Chelsea,,3.98,3.52,2.15,2.02,1.8,Fulham,6,5,10,8,6.6,13.12,14.72,14.16,6.333333333333333,9.333333333333334,1.3333333333333333,Chelsea,6,5,6,5,11.83,7.09,6.97,20.05,13.333333333333334,5.5,0.8333333333333334
1,03/10/2023,Luton,Burnley,,2.82,3.15,2.67,2.05,1.78,Luton,6,5,12,4,9.58,15.18,17.8,7.47,6.333333333333333,10.166666666666666,0.6666666666666666,Burnley,6,4,15,1,5.15,12.27,13.13,15.78,5.5,9.833333333333334,0.16666666666666666
2,07/10/2023,Luton,Tottenham,,6.9,4.6,1.45,1.57,2.4,Luton,6,5,12,4,9.58,15.18,17.8,7.47,6.333333333333333,10.166666666666666,0.6666666666666666,Tottenham,7,17,8,17,15.21,10.76,7.54,11.49,14.714285714285714,7.285714285714286,2.4285714285714284
3,07/10/2023,Burnley,Chelsea,,4.1,3.75,1.85,1.82,2.0,Burnley,6,4,15,1,5.15,12.27,13.13,15.78,5.5,9.833333333333334,0.16666666666666666,Chelsea,6,5,6,5,11.83,7.09,6.97,20.05,13.333333333333334,5.5,0.8333333333333334
4,07/10/2023,Everton,Bournemouth,,1.95,3.65,3.8,1.85,1.95,Everton,7,6,12,4,14.4,11.69,13.8,12.41,6.142857142857143,6.428571428571429,0.5714285714285714,Bournemouth,7,5,15,3,9.05,17.69,11.26,6.84,7.714285714285714,13.428571428571429,0.42857142857142855
5,07/10/2023,Fulham,Sheffield United,,1.65,3.95,5.3,1.93,1.87,Fulham,6,5,10,8,6.6,13.12,14.72,14.16,6.333333333333333,9.333333333333334,1.3333333333333333,Sheffield United,7,5,19,1,5.59,20.7,16.62,8.4,4.0,12.571428571428571,0.14285714285714285
6,07/10/2023,Manchester United,Brentford,,1.65,4.1,4.9,1.65,2.25,Manchester United,7,7,11,9,11.53,11.2,12.65,15.94,10.714285714285714,7.571428571428571,1.2857142857142858,Brentford,7,10,10,7,13.36,9.84,10.18,12.16,9.285714285714286,6.428571428571429,1.0
7,07/10/2023,Crystal Palace,Nottingham Forest,,2.07,3.35,3.75,2.18,1.7,Crystal Palace,7,7,7,11,9.41,9.13,12.06,7.4,6.571428571428571,8.714285714285714,1.5714285714285714,Nottingham Forest,7,8,10,8,6.68,10.61,21.21,9.53,5.0,9.0,1.1428571428571428
8,08/10/2023,Wolverhampton Wanderers,Aston Villa,,3.45,3.55,2.1,1.82,2.0,Wolverhampton Wanderers,7,8,13,7,8.93,15.4,12.53,8.58,5.857142857142857,13.428571428571429,1.0,Aston Villa,7,18,11,15,13.54,12.45,15.58,9.5,9.428571428571429,8.0,2.142857142857143
9,08/10/2023,Brighton,Liverpool,,2.72,3.9,2.35,1.93,1.88,Brighton,7,19,14,15,16.03,12.65,7.2,14.79,12.285714285714286,7.0,2.142857142857143,Liverpool,7,16,7,16,16.23,9.82,11.33,15.14,10.428571428571429,7.857142857142857,2.2857142857142856
